Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
FCN2,0.000973360655737705,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN|MCPH1|RAD51B|RAD51C|RAD54L2|RAD51|DMC1|FBXO18|HLTF|RECQL4|XRCC2,MAMMALIANS
TFPI2,0.000973360655737705,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN|MCPH1|RAD51B|RAD51C|RAD54L2|RAD51|DMC1|FBXO18|HLTF|RECQL4|XRCC2,MAMMALIANS
FAM120C,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
TSPAN8,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
TFPI,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
OCIAD1,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
SCX,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
APC2,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
IRF9,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
MYADM,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
CEP57L1,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
COX4I2,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
COX4I1,0.00115163147792706,No,RAD52|BRCA2|RAD51D|PSMC3IP|MND1|ATRX|RAD54L|RAD54B|WRN,MAMMALIANS
IGDCC3,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
VIT,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
ACKR3,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
ETS1,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
NFASC,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
IRF6,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
WSB2,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
JAM3,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
NRIP1,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
SSU72,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
IRF8,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
TSPEAR,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
SAG,0.00146466495789088,No,RAD52|BRCA2|RAD51D|PSMC3IP,MAMMALIANS
