Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
EGLN1,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
AZU1,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
SLC1A1,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
PRSS42,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
DYNLRB2,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
DYNLRB1,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
SLC1A5,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
DNAL1,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
CELA3A,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
ENSP00000424363.1,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
SLC1A6,0.000717213114754098,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1|PALB2|BRCA1|CHEK1|CLSPN,MAMMALIANS
CHAF1B,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
CLPTM1L,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
KLF6,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
LSM8,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
EZH2,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
RHEB,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
MICAL3,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
CNOT11,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
DOCK3,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
NFASC,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
TRIB2,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
CCT5,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
GRIK5,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
MYH11,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
SLC18A1,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
SLC13A4,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
KIF13B,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
RPL18A,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
PARG,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
HAGHL,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
LAMC1,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
AVPR1A,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
RPS15A,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
COPG1,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
COPG2,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
ADCY4,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
UBASH3A,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
ABCF2,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
TIMM21,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
TUBGCP3,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
ITPK1,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
SHF,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
TBX4,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
USP20,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
DNAJC7,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
EZR,0.00127959053103007,No,RECQL5|MDC1|ATRIP|ATM|CHEK2|RNF168|ATR|RNF8|TP53BP1|BARD1,MAMMALIANS
