Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
CLDN3,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
CLDN6,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
GPR39,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
OR10W1,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
CLDN4,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
C1QTNF2,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT1,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
OR14A2,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
OR1C1,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT77,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT15,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
STEAP4,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
MBIP,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
CLN5,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT6A,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT6B,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT6C,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT5,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT75,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
CX3CR1,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
RASSF4,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
CCR2,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT2,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT3,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
PARPBP,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
CLDN10,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
STMN1,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
KRT24,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
FNDC1,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
TOX3,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
SERPINB10,0.000204918032786885,No,DNA2|RBBP8|RPA1|EXO1,MAMMALIANS
ACKR3,0.000255918106206014,No,DNA2|RBBP8,MAMMALIANS
