Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
GLTPD2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ADAMTSL5,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
WNT11,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PEX11G,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
OPN4,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TSPAN11,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LMX1B,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
WNT10B,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ITGB7,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
HYI,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LFNG,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
RFNG,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MFNG,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CRHR1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ENSP00000488912.1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
HSPB8,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
DBP,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
HTR1A,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD63,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ETV2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
HTR1E,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
BDKRB1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD37,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ATOH8,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
BRMS1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD151,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MLF2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
LHX5,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TEKT4,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD82,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MRPL45,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MRPS24,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ANGPTL4,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
MEX3B,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
POU4F2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SHH,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CNPY4,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
IHH,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CNPY3,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TEKT3,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
WNT9B,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
NTSR2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TBX6,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TEF,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
DGCR6,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
DGCR6L,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TSPAN8,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
NHLH1,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
NHLH2,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SPAG7,0.000461065573770492,No,RAD17|TOPBP1|MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
