Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
GPR39,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR10W1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR14A2,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
OR1C1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
PNLIP,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT77,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT15,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT74,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
CCDC28A,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT37,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT38,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT19,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT6A,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT5,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT16,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
CX3CR1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
RASSF4,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
CCR2,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT78,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT9,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
STMN1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT24,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
MC1R,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT12,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT20,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
SPRED2,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
SYT14,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
KRT14,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
HCRTR1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
NTAN1,0.000819672131147541,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1|PCNA|ERCC4|SLX1A|MUS81|EME1|POLE,MAMMALIANS
