Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
PHKA2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
AMT,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
ECHDC2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
RAD52,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
METAP1D,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
DET1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
GTF2IRD2,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
GTF2IRD2B,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
PAGR1,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
CIRBP,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
POGZ,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
WDR59,0,,17636,14,0.000793830800635065,CHEK2|PALB2|ATM|ATR|RECQL5|RNF168|ATRIP|CLSPN|CHEK1|BRCA1|MDC1|RNF8|TP53BP1|BARD1
