Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
PALM3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GRB14,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PEX11G,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TMEM53,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LRRC28,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DEPDC7,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
REEP6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MROH2A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PFN3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GGTLC2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SCLY,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ETNK2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LACTB2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MTFR1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PAQR9,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ATF7IP2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SEC14L4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ARMC6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SPDYC,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CHST13,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TMPRSS9,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SLAMF9,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HPS5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KYNU,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TP53INP1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HK2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DIAPH2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FIBCD1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SCN9A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CCNJL,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PLCD1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ST3GAL4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SERINC5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
HDAC4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
NEDD1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OTUD4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GPS2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
METTL22,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KANSL3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RCOR3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SOS2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LRRFIP2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ARMS2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KRT34,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SMCO2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OR8B12,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C14orf177,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SLC6A5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TAS2R1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
IQCJ,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
NODAL,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OR2L2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ANO2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OR2H2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GLT6D1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TNP2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DRD3,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C16orf78,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
WFDC11,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LYG2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KRT85,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FABP12,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C6orf163,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
CD200R1L,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PRSS58,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TRIM42,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SPATA31E1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TEX36,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
IQCF6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TEX37,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LRRD1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TBC1D29,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C4orf51,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PATE4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DEFB134,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C3orf49,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SLC38A8,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DEFB135,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C14orf178,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ELSPBP1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
C10orf113,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PRNT,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ZNF705G,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
MAPK6,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
STXBP5,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
FBXO45,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SH3GLB1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
KCMF1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
BLZF1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ITCH,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
GSK3B,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
BTBD10,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
SMAP1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
METAP1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TPRXL,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
TMC1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
PPP4R1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DKK4,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
RAB40A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
ESPL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
DTX2,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
OVOL1,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
LHX8,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
IL1A,0,,17636,4,0.000226808800181447,DNA2|RPA1|RBBP8|EXO1
