,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
A1BG,0,0,0,0,0,1310,0,0,0,0,0,0,0.545953743,0,0,0,0.032258065,0.004482524,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,4300,0,0,0,0,0,0,0,0,0,0,0.012589928,0.004482524,0,0,0,0,0,0,0,0,0,0
A2M,0,0,0,0,587,0,0,0,0,0,0,0,0,0.322617741,0,0,0.032608696,0.004482524,0,0,0,0,0,0,0,0,0,0
A2ML1,0,0,0,0,0,6784,0,0,0,0,0,0,0,0,0,0,0.032608696,0.004482524,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,0,0,5283,0,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0,0,0,0,1450,0,0,0,0,0,0,0,0,0.407062191,0,0,0.017751479,0.004482524,0,0,0,0,0,0,0,0,0,0
A4GNT,0,0,0,0,7477,0,0,0,0,0,0,0,0,0,0,0,0.017751479,0.00591716,0,0,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,7804,0,0,8.852764247,9.063697689,4.647947054,0,8.073770396,0,0.27436377,0,0,0.016348774,0.007032349,0,0,0,0,0,0,0,0,0,0
AACS,0,0,0,0,0,1308,0,0,0,0,0,0,0,0.153728841,0,0,0.01,0.007751938,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,458,0,0,0,0,0,0,0,0.551824105,0,0,0.181818182,0.004482524,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,5394,0,0,0,0,0,0,0,0,0,0,0.010526316,0.004482524,0,0,0,0,0,0,0,0,0,0
