Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
SMARCD1,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
CRYL1,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
TSG101,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
ENSP00000481127.1,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
PRODH,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
GLB1,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
JMJD4,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
EHHADH,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
PRODH2,0.000819672131147541,No,FAAP100|FANCB|FANCI|FANCA|FAAP20|APITD1|FANCM|FAAP24|FANCE|FANCD2|FANCC|FANCG|FANCL|FANCF|BRIP1|STRA13,MAMMALIANS
CACNA1C,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
ABCB10,0.00129282482223659,No,FAAP100|FANCB,MAMMALIANS
